SKTGIJFO_CDS_3253	SKTGIJFO_CDS_3253
SKTGIJFO_CDS_5018	SKTGIJFO_CDS_5018
SKTGIJFO_CDS_4599	SKTGIJFO_CDS_4599,SKTGIJFO_CDS_3762,SKTGIJFO_CDS_4181
SKTGIJFO_CDS_3764	SKTGIJFO_CDS_3764,SKTGIJFO_CDS_4183,SKTGIJFO_CDS_4601
SKTGIJFO_CDS_0427	SKTGIJFO_CDS_0427
SKTGIJFO_CDS_1128	SKTGIJFO_CDS_1128
SKTGIJFO_CDS_2481	SKTGIJFO_CDS_2481
SKTGIJFO_CDS_5065	SKTGIJFO_CDS_5065
SKTGIJFO_CDS_2312	SKTGIJFO_CDS_2312,SKTGIJFO_CDS_1061
SKTGIJFO_CDS_3804	SKTGIJFO_CDS_3804,SKTGIJFO_CDS_4641,SKTGIJFO_CDS_4223
SKTGIJFO_CDS_3274	SKTGIJFO_CDS_3274
SKTGIJFO_CDS_2375	SKTGIJFO_CDS_2375,SKTGIJFO_CDS_2277,SKTGIJFO_CDS_1026
SKTGIJFO_CDS_5020	SKTGIJFO_CDS_5020
SKTGIJFO_CDS_0954	SKTGIJFO_CDS_0954
SKTGIJFO_CDS_1060	SKTGIJFO_CDS_1060,SKTGIJFO_CDS_2311
SKTGIJFO_CDS_2408	SKTGIJFO_CDS_2408
SKTGIJFO_CDS_5002	SKTGIJFO_CDS_5002
SKTGIJFO_CDS_2299	SKTGIJFO_CDS_2299,SKTGIJFO_CDS_1048
SKTGIJFO_CDS_3879	SKTGIJFO_CDS_3879,SKTGIJFO_CDS_4298,SKTGIJFO_CDS_4717
SKTGIJFO_CDS_5150	SKTGIJFO_CDS_5150
SKTGIJFO_CDS_2396	SKTGIJFO_CDS_2396
SKTGIJFO_CDS_0559	SKTGIJFO_CDS_0559,SKTGIJFO_CDS_2149,SKTGIJFO_CDS_3115,SKTGIJFO_CDS_1952,SKTGIJFO_CDS_2736,SKTGIJFO_CDS_2550,SKTGIJFO_CDS_0117,SKTGIJFO_CDS_2738,SKTGIJFO_CDS_2552,SKTGIJFO_CDS_0119,SKTGIJFO_CDS_3439
SKTGIJFO_CDS_2921	SKTGIJFO_CDS_2921
SKTGIJFO_CDS_5085	SKTGIJFO_CDS_5085
SKTGIJFO_CDS_0426	SKTGIJFO_CDS_0426
SKTGIJFO_CDS_1127	SKTGIJFO_CDS_1127
SKTGIJFO_CDS_3559	SKTGIJFO_CDS_3559,SKTGIJFO_CDS_4395,SKTGIJFO_CDS_3976
SKTGIJFO_CDS_5245	SKTGIJFO_CDS_5245
SKTGIJFO_CDS_4243	SKTGIJFO_CDS_4243,SKTGIJFO_CDS_4661,SKTGIJFO_CDS_3824
SKTGIJFO_CDS_5143	SKTGIJFO_CDS_5143
SKTGIJFO_CDS_0313	SKTGIJFO_CDS_0313,SKTGIJFO_CDS_1594,SKTGIJFO_CDS_1422,SKTGIJFO_CDS_0746,SKTGIJFO_CDS_1252
SKTGIJFO_CDS_3289	SKTGIJFO_CDS_3289
SKTGIJFO_CDS_2390	SKTGIJFO_CDS_2390
SKTGIJFO_CDS_1042	SKTGIJFO_CDS_1042,SKTGIJFO_CDS_2293
SKTGIJFO_CDS_5138	SKTGIJFO_CDS_5138
SKTGIJFO_CDS_1027	SKTGIJFO_CDS_1027,SKTGIJFO_CDS_2278
SKTGIJFO_CDS_3284	SKTGIJFO_CDS_3284
